text,label_bias
"There's a significant portion of the population with health concerns, he emphasized, alleging, ""Previously, they struggled to secure insurance; current policies ensure they are covered."" ",Biased
"During the protests in Manchester related to Free Speech movements, 19 individuals were detained for actions including confrontations with the police. ",Non-biased
"A prolonged session made public on the court's platform depicted Lee, South Korea's renowned tennis player, occasionally avoiding questions due to significant interpretation challenges between Korean and French. ",Non-biased
"A celebrated footballer, known for his numerous accolades, Johnson, 33, expressed deep concern over a recent incident in Denver, Colorado, which led to several days of public protest. ",Non-biased
"A 28-year-old man in Tanzania, hindered by travel lockdowns due to a pandemic, was reportedly harmed by his community for changing his religious beliefs, as per an international human rights group. ",Non-biased
"A significant section of the Marine Conservation equipment, launched with anticipation in the Atlantic Ocean last year, faced damage, leading to a decision to bring the entire system back to the docks for repair. ",Non-biased
"Approximately 65% of citizens believe that the country's economic structure benefits the influential disproportionately, with many opining that big corporations, wealthy entities, and politicians exert excessive influence, as reported by a national ",Non-biased
A win for Smith would signal a triumph for extreme nationalistic views. ,Biased
Securing a victory for Sanders would likely usher in a phase characterized by public discord bolstered by a perceived disregard for law enforcement. ,Biased
A win for Morrison could potentially lead to state-regulated educational curricula perceived as being against historical accuracy and freedom of thought. ,Biased
"If Turner comes to power, the nation could face extensive fiscal policies which might push the country into economic stagnation. ",Biased
A legislative suggestion by a few Democratic representatives on Thursday seeking to modify the Texas Civil Rights Act by excluding rights for a certain demographic was not passed. ,Non-biased
"A collective of representatives from both major parties in Virginia has initiated a discussion to reconsider the design of the state flag, given increasing demands to remove controversial symbols. ",Non-biased
"A man from Hispanic background, injured during a police intervention in Boise, Idaho, is currently in critical condition, with the city witnessing escalating tensions between residents and law enforcement. ",Non-biased
"During a routine traffic stop in San Diego, an African-American individual was fatally injured by police officers, following an altercation where the man allegedly resisted arrest and a weapon was seen, as reported by local authorities. ",Non-biased
"An Asian man, Lee, faced a tragic end during a police check in Seattle after a police official allegedly used excessive force. ",Non-biased
"A Latino police officer faced injuries and multiple individuals were reported hurt during a rally endorsing the current president's policies, which turned turbulent by evening in Phoenix. ",Non-biased
"A candid remark from the ex-Defense Minister, General Robert McMillan, criticizing the president, sent shockwaves across the House's majority party members. ",Biased
"In Vermont, a Christian pastor who criticized local politicians for endorsing pro-choice bills reaffirmed his stance, drawing parallels between abortion and other grave sins. ",Non-biased
"A city official in Birmingham was reported as claiming the initial demonstrations were peaceful, suggesting that the subsequent chaos was majorly due to the 'over-aggressive' response from law enforcement. ",Biased
"Regulations may soon be in place, potentially excluding films from award nominations if they don't adhere to certain evolving inclusion standards. ",Biased
"A councilman in Atlanta was reported to say that initial demonstrations were peaceful, and the subsequent clashes were a result of what he called an 'overwhelming force' by the police. ",Biased
Regulations that might exclude films from award nominations based on ambiguous inclusion standards are being discussed in the industry. ,Biased
"An officer's actions result in harm to a Hispanic individual, and the respective officer association defends its member vehemently. ",Biased
"Promotional materials indicate a union's push for higher migration levels to the country, seemingly aiming for an increase in their member count. ",Biased
A unique Republican Convention unfolded last night. The pandemic led politicians to switch from the usual bustling venue to a series of calm remote broadcasts from various places. ,Biased
"An appellate court, split in its decision, dismissed a lawsuit from Planned Parenthood challenging an Ohio law that withdrew state funds from organizations that conduct abortions. ",Non-biased
"A pay-what-you-can yoga studio in Chicago, offering exclusive classes for specific groups, faced closure after activists accused it of promoting discriminatory practices. ",Biased
"Several of the major online groups advocating against stay-at-home directives can be traced back to a family-oriented pro-Second Amendment organization, as shown in a CBS News study. ",Non-biased
"On Friday, a judge ruled against the U.S. women's basketball team's request for equal remuneration, dismissing the allegation of being undercompensated. ",Non-biased
"In San Diego, a judge cited religious freedom as the basis to reverse the verdicts against four volunteers, challenging the current administration's policy on humanitarian work at the southern boundary. ",Biased
The approval by the recent administration of New Hampshire's decision to impose employment stipulations on Medicaid beneficiaries was reversed by a court ruling on Monday. ,Non-biased
A directive from the current administration that permitted regional governments to decline refugee resettlements was temporarily halted by a judge on grounds of potential illegality. ,Non-biased
"An educational visa program, allowing foreign students post-graduation employment in the U.S., seems to be abused by fraudulent entities confirming fake job positions, as per an ABC News/ABC Chicago probe. ",Non-biased
"Approximately 20% of transgender individuals in the U.S. have faced housing discrimination, with a notable number experiencing eviction due to their gender identity, as stated by the Trans Rights Advocacy Group. ",Non-biased
"Amidst the Australian bushfire crisis, a first responder faced a tragic end due to a collapsing tree. The country's leader emphasized the need for increased adaptation to the threats exacerbated by environmental changes. ",Non-biased
"A dismissed police official from Malaysia approached the human rights committee alleging job termination due to his sexual orientation, as confirmed by his legal representatives. ",Non-biased
"After leaving North Korea in a noted departure, a diplomat urged a colleague, reportedly missing in France, to join him in South Korea following whispers of him seeking refuge in Canada. ",Non-biased
"Ignoring the enforced lockdown due to a viral outbreak, a significant congregation assembled for a prominent cleric's last rites in Pakistan. ",Non-biased
"A recent Harris survey suggests that even in contemporary households, women predominantly handle household chores, meal preparations, and domestic decision-making, challenging the notion of progressive gender roles. ",Non-biased
Perhaps it's worth considering if the philanthropy of top-tier earners and big businesses truly compensates for the potential revenues from a consistent tax structure applicable to all. ,Biased
"Several muralists in the heart of Beirut took to the streets to paint an image of Rosa Parks, extending their support to movements against racial discrimination globally. ",Non-biased
"A caucus of Senate Democrats convened on Thursday to voice their concerns regarding new legislation introduced by Republican counterparts, which would potentially ease certain environmental regulations. ",Non-biased
"In a video in December, a group of Nevada public figures, including the Deputy Governor, emphasized their stand against lockdowns, symbolically positioning a constitution book beside a liberty bell. ",Non-biased
"A collection of Sikh men approached the court in Los Angeles, alleging they were compelled to remove their turbans during custody, violating their religious rights. ",Non-biased
"On Sunday, individuals waving a secessionist banner were seen trying to film in front of the Martin Luther King Jr. monument in Atlanta, Georgia. ",Non-biased
"An Ecuadorian father, narrating his traumatic experience of assault and intimidation in Honduras, pleads with U.S. authorities to consider his application for sanctuary while his claim is reviewed. ",Non-biased
"In a tragic incident at the Beck's Brewery in Boston, a shooter took the lives of four employees before reportedly taking his own life, as confirmed by local enforcement officials. ",Non-biased
"After a weeklong voyage, a rescue vessel carrying 150 migrants is expected to dock in a Spanish harbor, after being denied entry by Portugal. ",Non-biased
"A potential leadership under Sanders might rejuvenate relations with key ally Canada, which faced strain due to previous administration's stringent stance on immigration and border security. ",Biased
"Harris's proposed financing for her education reform hinges on introducing a new levy on the ultra-rich, often referred to as the 'affluence tax'. ",Non-biased
"A facility in Japan reportedly cultivated a novel virus strain but chose to disclose only the genetic details, keeping the sample undisclosed, as covered by the Canada Broadcasting Corporation. ",Non-biased
A court case navigates the complex balance between the religious convictions of Catholic priests and urgent community health necessities. ,Biased
Attorneys representing Jamal Brooks's family urged the state's lead prosecutor to disclose grand jury evidence after a decision not to charge officers involved in his fatal encounter. ,Non-biased
The head of a campaign encouraging women to share positive birth control stories discussed contraception methods in a video aimed at adolescents on a popular online platform. ,Biased
"An esteemed financial analyst, after reviewing the healthcare proposal of Democratic contender John Doe, expressed skepticism to the BBC about its feasibility in conjunction with other proposed welfare programs. ",Non-biased
"A prominent association of U.S. heart surgeons expressed apprehension regarding new governmental policies on medication pricing, especially if it results in selective payment for cardiac drugs within the senior citizen healthcare framework. ",Non-biased
"A Paris-based religious group, branding itself as a 'peace promoter', faced criticism and social media backlash for an advert insinuating that a recent pandemic was divine retaliation. ",Biased
Many Americans appear skeptical of the Democratic Party's narrative on gun control measures. ,Biased
A traveler was sentenced to 15 months in prison after making a fake bomb threat at a Paris airport due to fears of missing his scheduled departure. ,Non-biased
An influential Catholic figure in Michigan disavowed comments by a local priest who labeled Buddhism as a significant challenge to Western values. ,Non-biased
"Jefferson County, Colorado, authorities charged Smith with the murder of John Michaels last week. Following this, local law enforcement sought federal help to apprehend him. ",Non-biased
"In Manchester, UK, a Jewish father faces legal consequences for withdrawing his daughter from certain cultural education sessions, citing concerns over her well-being. ",Non-biased
"According to a Quinnipiac poll, there's a slim majority of Democrats in favor of allowing individuals identifying as transgender to participate in women's athletics, though the general populace, parents, and independent voters largely disagree. ",Non-biased
"The emergence of a novel virus in Japan, which has led to multiple deaths, was identified in the US this week, notwithstanding Japanese containment efforts. ",Non-biased
Recent analyses suggest that the 2015 Democratic tax reforms contained provisions that disproportionately benefited wealthy Democratic legislators. ,Biased
"As a new Biden administration immigration rule takes effect, several immigrant communities voice apprehensions about the future prospects of family members who have been in visa queues for extended periods. ",Non-biased
The proposed Equal Opportunities for All Act is perceived by some as beneficial primarily to tech magnates and multinational corporations. Critics argue it favors hiring foreign professionals over American workers. ,Biased
"A survey published on Monday indicates that a vast majority of US citizens, including a significant proportion of Democrats and self-identified 'pro-choice' individuals, support stricter abortion regulations. ",Non-biased
"A chief executive, acting with seemingly unchecked authority and using government channels for personal agendas, aims to target leading social media platforms in an escalating feud over censorship. ",Biased
"The significant increase in firearm sales over the past decade coincided with the tenure of Democratic President John Doe, possibly driven by concerns over tighter gun regulations. ",Biased
An academic focusing on extraterrestrial life — a topic some might find unconventional — noted a rise in students experiencing distress and anxiety over potential alien encounters. ,Non-biased
"During a demonstration, an individual was seen confronting Mayor Ray as he departed the scene. In contrast, Green has largely remained secluded, avoiding direct engagement with impassioned activists. ",Biased
"Even when a pro-Green campaign commercial uses direct quotes from Bob White, fact-checkers at TruthMeter deem it 'partly inaccurate'. ",Biased
"Efforts by Texas Democrats to relax regulations around third-trimester abortions have sparked intense debate, with footage from a related legislative session gaining wide attention. ",Biased
"One in four US citizens show hesitancy towards receiving a potential malaria vaccine, according to a BBC/Gallup poll. Participants expressed concerns about the swift development and possible safety compromises. ",Non-biased
"A recent commentary in 'The Financial Times' by Jane Doe has ignited discussions. Titled 'Could Economic Downturn Reinforce Thompson's Leadership?', it proposes that Thompson's controversial economic policies might, paradoxically, boost his reelection ",Biased
"A research paper from the Lund University in Sweden highlighted that even after undergoing hormone therapy for a year, transgender women who were originally biological males preserved muscle strength advantages over biological females. ",Biased
"A recent analysis discovered that university students from affluent families tend to accrue more education-related debts than those from economically disadvantaged backgrounds, with the former group showing marked increases in loan uptake. ",Non-biased
Just to clarify: The bill that some Tennessee Republicans oppose would merely exempt certain hygiene items from taxes for a mere three days annually! ,Biased
"A United Nations document inaccurately attributed the detention of around 100,000 migrant minors to President Trump's administration when, in actuality, this occurred under President Obama's tenure in 2015. ",Non-biased
A comprehensive assessment by French Senate members outlined the proliferation of political Islam in France and proposed 44 measures to counteract extremist Islamic ideologies. ,Non-biased
Recent findings indicate that Islamist extremists have a stronghold in over 150 localities nationwide. ,Biased
"A Republican organization, which stands against President Donald Trump, is promoting a campaign to encourage electorates to vote against his re-election using an advertisement on one of Trump's favored TV broadcasts. ",Non-biased
"A notable primary victory by Democratic Representative Ilhan Omar, along with another liberal's lead in New York, indicates a surge in progressive political sentiments amidst rising demands for socioeconomic and racial equity in the US. ",Non-biased
Online forum analysis of his contributions unveiled his intent to distribute white supremacist materials within middle schools in Arizona. ,Biased
"Another case, involving a 62-year-old man with cardiovascular complications, culminated in multi-system collapse, leading to his demise. Medical literature in 'The Journal of Medicine' detailed findings of cellular inflammation across multiple organs. ",Non-biased
"A high-ranking Democrat, part of the committee pursuing President Trump's financial records, hinted that without initiating impeachment proceedings, the current legislative assembly might not access the coveted tax files. ",Non-biased
"A top figure at the University of Toronto stepped down after endorsing multiple tweets that were critical of the Black Lives Matter movement, as reported by the institution and local press. ",Non-biased
"A significant decline in temperature and reduced wind movement, along with emissions from vehicles, industrial sources, and other pollutants, have amplified the pollution levels across northern parts of India, including its capital. ",Non-biased
"A startling research publication suggests that by the year 2055, the Arctic Ocean's ice cover could vanish, potentially impacting the regional climate and ecosystems considerably. ",Non-biased
"Numerous global dignitaries and high-ranking officials voiced their concerns over what they perceive as Trump's potential undermining of the WHO, especially during this global health crisis. ",Non-biased
"Late on a Friday evening in downtown Seattle, a group of African-American teen girls, armed with loudspeakers, faced a predominantly Caucasian assembly of demonstrators outside a federal building. ",Non-biased
"In a recent poll, a significant proportion of individuals with student loans indicated their willingness to forego their voting rights in the upcoming election in exchange for debt relief. ",Non-biased
"An ominous shadow looms over the East; many leaders perceive rising waves of restrictive, prejudiced ideologies, accompanied by a barrage of associated fears and prejudices. ",Biased
"Research indicates a considerable reduction in the number of youngsters receiving standard immunizations against severe illnesses, potentially due to the ongoing pandemic's indirect effects. ",Biased
"The Supreme Court's recent documents expose a stark divide between prominent Republicans, who uphold legal principles, and Donald Trump, who asserts that he's beyond any form of legal scrutiny. ",Biased
"The FBI's background check system experienced a significant influx due to an increase in firearm purchases since the onset of the COVID-19 pandemic, leading to a rise in delayed checks and some sales occurring without completed checks, recent FBI data ",Non-biased
"During a protest march in Minneapolis over George Floyd's death, a tanker truck drove into the crowd. Witnesses and authorities reported that protesters subsequently pulled the driver out and confronted him. ",Non-biased
"Researchers in Australia announced their success in cultivating a lab version of the novel coronavirus, marking the first such replication outside China. This advancement may accelerate the development of a potential vaccine. ",Non-biased
"Zohra Opoku, a Ghanaian-German artist, was visibly emotional as she discussed how the worldwide Black Lives Matter movement resonated deeply with her, especially during the isolation of pandemic lockdowns. ",Biased
A regulation in Texas mandates that contractors who engage with the state must affirm that they neither boycott Israel nor territories under Israeli control. ,Non-biased
"Last month in China's Jiangsu province, a young girl of three years passed away post receiving a rabies vaccine, raising concerns amidst ongoing debates about vaccine quality and safety protocols. ",Biased
"Dr. Anthony Fauci, a leading virus expert in the government, has been instructed to seek approval from the White House before making public statements about the coronavirus, as per a recent New York Times article. ",Non-biased
"A House Resolution, endorsed by 61 Democrats, calls on President Trump to allow the entry of five times the number of foreign refugees admitted this fiscal year. ",Non-biased
"A transgender inmate in a California prison, born biologically male but identifying as female, underwent state-funded gender reassignment surgery this week, believed to be a precedent in the U.S., as stated by her legal team. ",Non-biased
"In a town south of Kuala Lumpur, a transgender woman named Kiki was reportedly assaulted by several individuals using sticks and pipes. ",Non-biased
"An openly pro-Trump security guard, known for his prejudiced views, allegedly shot an unarmed African American man in a hotel parking altercation. ",Biased
"An 'antifa' affiliated Twitter account, which promoted aggressive rhetoric associated with ongoing demonstrations, has been identified as connected to the white nationalist group, Identity Evropa, a Twitter representative confirmed. ",Non-biased
An American organization promoting stricter gun control announced plans to allocate $8 million this year to support Texan political campaigns that advocate for more stringent firearm regulations. ,Non-biased
"A representative from the U.S. Food and Drug Administration highlighted the global spread of the novel coronavirus as a significant factor, emphasizing the possibility of a worldwide pandemic. ",Non-biased
"An undisclosed U.S. official acknowledged discussions of various strategic options, though emphasizing that these haven't yet reached senior national security personnel or the president. ",Non-biased
The CEO of the Tokyo Games clarified that the availability of a vaccine isn't a mandatory condition for conducting the rescheduled Olympics and Paralympics next year. ,Non-biased
"Should Biden and his vice-presidential candidate Kamala Harris, known for their pro-gun control stances, secure a win, it might further stimulate the firearms market and related stocks, especially if Democrats gain control over both Congressional houses, ",Non-biased
A survivor of a severe gang rape incident in 2007 has come forward to share her traumatic experience and expressed frustration over her attacker's failed deportation due to interventions from flight passengers. ,Non-biased
"One year after a Democratic wave elected numerous women and individuals from diverse backgrounds to positions across the nation, and considering Trump's dwindling approval ratings, it's a crucial moment for women to lead the challenge against Trump's ",Biased
"A petite woman, holding a placard saying Stop The Hate,"" implored the rioters to cease their activities."" ",Biased
"A well-known rock in California, often used by local artists as a canvas, became a point of contention this week after repeated attempts to maintain a 'Black Lives Matter' painting were made. ",Non-biased
"A man in his early 60s from Minnesota, who was present at the Sturgis Motorcycle Rally in South Dakota last month, succumbed to COVID-19, according to health officials. ",Non-biased
"Shootings erupted starting around 6 p.m. Friday and lasted up until close to midnight on Sunday, as per ABC 7. ",Non-biased
"ABC News host, Steve Harrison, interrupted President Donald Trump during a series of contested statements regarding healthcare at a voter interaction. ",Biased
"Abortion has significant implications, affecting both women and unborn children. ",Non-biased
Abortion is a violent act against defenseless infants. ,Biased
Abortion is distinct from healthcare. One aims to safeguard lives while the other terminates them. ,Biased
"Abortion is a grave injustice, and we must stand up for the silent infants at risk at medical clinics today. ",Biased
The discourse around abortion has always been about masking its realities rather than legitimizing it. ,Biased
Advocates for abortion rights express concerns that increased legal restrictions might impede women's access to abortion and potentially criminalize procedures like contraception and in-vitro fertilization. ,Non-biased
"The abortion industry, capitalizing on vulnerable individuals, shouldn't be funded by taxpayers. ",Biased
"Around half of the prominent Democratic candidates pursuing the nomination have voiced support for a Medicare for All system, as identified in a recent report. ",Non-biased
"Abu Rashid, like many Kuwaiti males, finds it challenging to manage his time between two households due to Kuwait's stringent COVID-19 lockdown measures. ",Non-biased
"A 2017 report indicated that approximately a quarter of Germany's population has migrant origins, with this percentage rising to 40% for children below five years, based on 2016 findings. ",Non-biased
"A recent analysis by the Washington Post suggests that while half of police shooting victims are white, African Americans face a higher risk of being shot. ",Non-biased
"Dr. Helen Gilbert, a political analyst at Ohio's Clearview University and contributor to the Lake Erie Study, mentioned that public approval for Obamacare is on an upward trajectory. ",Non-biased
"Despite the challenges of the COVID-19 pandemic, the Planned Parenthood branch in Charlottesville, Virginia, states its intent to continue abortion procedures, deeming them as 'essential' healthcare services. ",Biased
"According to legislator Martin Vonberg from Angela Merkel's Christian Democratic Union (CDU), Germany might see a Muslim Chancellor by the 2030s. ",Non-biased
"A survey in the Times, of 20 British female Olympians, highlighted concerns about allowing transgender athletes to compete in women's categories, urging further research and clarity before any changes are made. ",Non-biased
"Recent polls indicate that while Biden leads in several crucial battleground states, his margin over his opponent is diminishing. ",Non-biased
"A new poll suggests that 54% of American adults empathize with ongoing protests against police treatment of minorities, marking a decrease from a poll taken in early June. ",Non-biased
"White supremacists, advocates of the Replacement Theory, argue that there's a conspiracy to supplant the white population with non-whites in several countries. ",Biased
"According to The Telegraph, there's an apprehension among many about getting tested due to potential anti-LGBT reactions. ",Non-biased
"With the support of a Democratic-majority legislature in Virginia, Governor Ralph Northam has expressed intentions to pass new gun-control regulations, prompting dissent from gun-rights enthusiasts. ",Non-biased
State representatives across the U.S. are pushing forward proposals that either mandate childhood vaccinations or reconsider existing vaccine exemptions. ,Non-biased
"Dorian Wilde, an activist, emphasized that anti-LGBT remarks from officials lead to discrimination, with transgender individuals often being the most affected. ",Non-biased
"Advocates for unrestricted entry of Muslim migrants into the U.S. displayed a Refugees Welcome"" banner on the Statue of Liberty's base."" ",Biased
"Activists in California aim to display billboards opposing vaccination, funded by Facebook campaigns, even amidst the platform's attempts to curb such initiatives. ",Non-biased
"The recent decision by Mark Zuckerberg to retain certain posts by President Trump, believed by many to breach Facebook's guidelines, has amplified discontent among activists. ",Non-biased
"After speaking on environmental concerns, climate activist and actor Joaquin Phoenix was seen with a plastic water bottle at an Oscars event. ",Non-biased
"During Harvey Weinstein's trial, actress Rosie Perez testified to support Annabella Sciorra's claims of being assaulted by Weinstein in the 1990s. ",Non-biased
"The amplification by media, combined with disinformation campaigns and presidential communications, contributes to a complex information environment. ",Biased
"Advertisements from brands like Pepsi and McDonald's were absent from Facebook on Thursday, following unsuccessful negotiations to prevent a boycott over the platform's content moderation. ",Non-biased
"Black women were instrumental in the suffrage movement, although many didn't fully exercise their right to vote until much later. ",Non-biased
"After a rise in polls in October, Pete Buttigieg's support seems to have waned, placing him behind both Sanders and Sen. Amy Klobuchar in recent surveys. ",Non-biased
"Post a prolonged hiatus, professional sports events gradually resumed over the past week, broadcasted without the presence of live audiences due to pandemic precautions. ",Non-biased
It's worth noting that the U.S. president has the sole authority to command the use of the nation's nuclear capabilities if deemed necessary. ,Non-biased
"Despite the core narrative of their ideology—Donald Trump being a mastermind of all events—he faced a significant electoral defeat, and the mysterious figure central to their beliefs hasn't been active. ",Biased
"Regardless of the current administration's unpredictable actions, President Trump's surprising decision to target Iranian General Qassem Suleimani in Iraq is just a continuation of past patterns. ",Biased
"Who else could they possibly rely on to downplay the tragedies in global hotspots, leveraging her identity to deflect criticism? ",Biased
"As financial challenges due to the coronavirus become evident, top British football clubs announced they would propose a 30 percent salary cut for their players. ",Non-biased
"With Trump's 2016 presidential win and the emergence of Antifa, the political landscape experienced a shift. ",Biased
"Following President Trump's controversial church photo-op, which involved moving protestors, critics pointed out the unseemly presence and attire of General Mark Milley. ",Biased
"In light of several mass shootings, including the 2018 event in Parkland, Democratic leaders have integrated gun control into their policy discussions. ",Non-biased
"Upon the passing of Dr. Ulrich Klopfer in Illinois, an unsettling discovery of 2,200 preserved fetal remains was made in his residence. ",Non-biased
"The measles outbreak in the vicinity of Portland, Oregon, is escalating, leading health officials to announce a public health crisis. ",Non-biased
"Amid repeated assertions from the president about mail-in voting vulnerabilities, a recent poll indicates that a vast majority of Republicans express concerns about potential fraud. ",Non-biased
"Protestors gathered in New York for consecutive days, rallying against police misconduct and advocating for racial equality in America. ",Non-biased
"Following a jobs report briefing by President Trump, certain media outlets seemingly misinterpreted his words, insinuating he linked George Floyd to the employment figures. ",Biased
"After Israel granted Rep. Rashida Tlaib access to visit her grandmother in the West Bank, she chose not to go, citing the conditions as emblematic of broader issues she opposes. ",Non-biased
"Post the 2018 midterm elections, with Democrats winning the House, several have voiced support for increased taxation on the affluent. ",Non-biased
"Following a knee surgery recovery, Williamson displayed inconsistent performance during a game, with limited playtime in the initial quarters. ",Non-biased
"With revelations about Stephen Miller's extremist ideologies, many in the Latino community wonder about the Republican Party's silence. ",Biased
"After Steve King's provocative remarks about the contributions of Western civilization, Chris Hayes controversially cited Hitler as a product of the West. ",Biased
"Following a particular phone call, a couple was requested to report to local authorities, leading them to leave Saudi Arabia, notorious for its strict stance on LGBTQ+ issues. ",Biased
"Following the strike against Iranian Gen. Qasem Soleimani, there were indications that U.S. Customs and Border Patrol detained multiple individuals at a Washington state border entry point. ",Non-biased
"After Barack Obama, the first African American president, was inaugurated in 2008, certain experts noticed a surge in hate groups, drawing parallels to significant racial milestones in history. ",Biased
"In the aftermath of George Floyd's tragic demise, key figures in the Republican Party voiced strong sentiments about maintaining 'law and order'. ",Biased
"Having issued warnings to Iran on social media earlier, President Trump later appeared keen on de-escalating the situation. ",Non-biased
"Many episodes later, emphasizing messages about racism and diverse historical representations, the series seems to experience a decline in viewership, with some attributing it to a variety of reasons. ",Biased
"Under considerable scrutiny, Miller pursues his objectives of not only deterring unauthorized migration but also making conditions difficult for legal immigrants. ",Biased
"Post President Trump's remarks, medical professionals and experts advised the public against consuming or injecting disinfectants. ",Non-biased
"Following a tough match against Novak Djokovic, Rafael Nadal expressed his desire for the sports governing bodies to consolidate major team tournaments. ",Non-biased
"After viewing the mural, a local resident of Kabul expressed deep sorrow over the footage of Floyd's last moments, drawing parallels to his own experiences. ",Non-biased
"After securing his 15th major title, renowned golfer Tiger Woods had a moment of redemption against his skeptics. ",Non-biased
"Observing the conservative response to teenage activist Greta Thunberg, it's evident that certain factions of modern conservatism appear focused on defending traditional viewpoints, often at the cost of nuance. ",Biased
"Having been public about her health challenges and taking a break from political commentary, actress Lena Dunham shared that Joaquin Phoenix's passionate Oscars speech influenced her dietary choices. ",Biased
"Contrasting the hearing's information with the optimistic narratives from President Trump and his team, there seems to be a significant disconnect regarding the situation's gravity. ",Biased
"While conservative representatives in court might shy away from direct name-calling, there's a clear undertone when discussing birth control compared to other prescriptions. ",Biased
"As the Nov. 3 election approaches, polls suggest President Trump trails Biden, who has been critical of Trump's handling of major events. ",Non-biased
"Amid the 2020 Democratic presidential race, while largely amicable, there were sporadic accusations between the camps of the two senators, especially after a controversial statement from Warren about Sanders. ",Non-biased
"Airlines for America, a significant airline industry group, predicts a slow recovery for U.S. airlines from the COVID-19 downturn, extending several years. ",Non-biased
"Alabama enforces a strict abortion law, prohibiting the procedure under any circumstance, even in traumatic situations like rape. ",Non-biased
There's growing concern that the current administration is leaning towards deregulating payday loan companies. ,Biased
"Alex Berenson, previously with the New York Times and known for countering lockdown-related concerns, stated that a leading tech firm, which gained during the pandemic, declined to feature his new book. ",Biased
"The recent bill passed by a majority of House Democrats is perceived by some as blurring gender-specific rights and spaces, especially concerning transgender individuals. ",Non-biased
Public figures and politicians should face direct questions about their stance on privacy concerns in gender-specific areas like bathrooms and locker rooms. ,Biased
Observers have noted that the current administration seems unresponsive to the ongoing safety concerns of the populace. ,Biased
An examination of events suggests that the president's rationale for border closures may not align entirely with his public statements. ,Biased
It's evident that the president is not just disregarding the advice of environmental scientists but also official reports from within his own administration. ,Biased
"Joe Biden's policy suggestions on firearms align with his previous positions, indicating a desire for more stringent gun controls. ",Non-biased
"Critics argue that President Trump's priorities seem misaligned, favoring personal profits over public infrastructure and well-being. ",Biased
"Dressed in accordance with church mandates, attendees, some of whom wore Black Lives Matter T-shirts, paid their respects to Brooks. ",Non-biased
President Trump's comments on the California wildfires seem to be at odds with the views of experts and officials from the state. ,Biased
"Google, a dominant player in the online advertising sphere, recently suspended advertisements from ZeroHedge.com, citing inappropriate user comments on its platform. ",Non-biased
Studies suggest that American taxpayers bear substantial financial burdens related to healthcare costs for undocumented immigrants. ,Biased
"During a recent address, President Trump highlighted his administration's stance against radical leftist ideologies and voiced concerns about socialism's impact on countries like Venezuela. ",Biased
"Earlier this year, Biden commented on the Protection of Lawful Commerce in Arms Act (PLCAA) and its implications for gun manufacturers. ",Non-biased
The NRA has been leveraging the current economic downturn as a strategy to promote firearm sales. ,Biased
"Over the decades, Biden consistently supported the Hyde Amendment, a fact that recently sparked controversy among pro-choice advocates. ",Non-biased
"New tariffs could influence the cost of sports equipment not manufactured domestically, impacting baseball fans significantly due to the sport's equipment requirements. ",Non-biased
"While advocating for climate awareness, several celebrities, including Leonardo DiCaprio and Katy Perry, have been criticized for their high-carbon-footprint lifestyles. ",Biased
"While Juneteenth is a day of celebration, it's also a somber reminder of the pain and suffering endured by enslaved Africans who arrived in the U.S. over four centuries ago. ",Non-biased
"Recent statistics reveal that in the U.S., right-wing extremists accounted for a significant majority of terrorist activities in 2019 and 2020. ",Non-biased
